rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
168,"spotify:track:3aDV90V6vHUSYKKYDLNdQ8","Israel & Rodolffo, Jorge & Mateus","Marca Evidente - Ao Vivo","DAMASCENO MUSIC",58,115,29,"1241768"
169,"spotify:track:3hyjNCzsae6icKMmtY4g8G","AG031, MC Nito, Dj Ph Da Vp","Vem No Galope","GUETTO RECORDS",169,182,2,"1238391"
170,"spotify:track:1Nmcs8zk7LfcvHRgLtTM5J","Orochi, Papatinho","Amor de Fim de Noite","Mainstreet Records",36,133,99,"1236046"
171,"spotify:track:1r3uOHPoiIv89Xb6K9bDH4","Justin Bieber, Gunna","WAY IT IS","ILH Production Co. LLC / Def Jam Recordings",171,-1,1,"1233785"
172,"spotify:track:3H7eBmcTJyuEMStfmKuLmG","MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako","A Danada Me Ligando","Love Funk",1,166,46,"1233571"
173,"spotify:track:7izihBeq9rmGYnierSTjv8","Gamadinho","Instinto - Ao Vivo","Gamadinho",127,197,25,"1229636"
174,"spotify:track:1rO0uD1DwejqeZLNXTroJK","Veigh, Supernova Ent","Hiperfoco","Supernova Entertainment",41,63,3,"1225447"
175,"spotify:track:14KMQgJYGx0WMwmSLRnlHd","Turma do Pagode, Ferrugem, Mumuzinho","Duvido - Ao Vivo","Sony Music Entertainment",80,192,21,"1224758"
176,"spotify:track:3FBs8ttL0pPOLTbC6xWpTj","THE BOX, Oruam, Real Fuba, Didi, Luanzin, Neo Beats, Victor WAO, Maurin, Elow","THE BOX MEDLEY FUNK 6","Sony Music Entertainment",51,154,7,"1217726"
177,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",43,140,9,"1215590"
178,"spotify:track:4m8kG46clzxMxyrDuFo1Uq","WIU, Oruam","Horas Iguais","Sony Music Entertainment",77,156,38,"1212423"
179,"spotify:track:5PCOOngROV9jWsUViSy4Ed","j-hope, GloRilla","Killin' It Girl (feat. GloRilla)","BIGHIT MUSIC",58,136,5,"1209871"
180,"spotify:track:7dKqPh21HpsysZvRWyNeM1","Isadora Pompeo","Bênçãos Que Não Têm Fim (Counting My Blessings)","Sony Music Entertainment",10,172,80,"1209182"
181,"spotify:track:0KDxhAvKeiVFL1bZccQVJs","Zé Neto & Cristiano","Pulando o Muro - Ao Vivo","Som Livre",62,174,37,"1208941"
182,"spotify:track:7Cf2Hsy3cPlA4e115tElXv","Henrique & Juliano","Liberdade Provisória - Live - Ibirapuera / 2019","Virgin Music Label And Artist Services (S&D)",1,183,167,"1208025"
183,"spotify:track:4yEKHiUQA70cjfWnEL2m13","Drops INA","É Ele","Onimusic",73,193,40,"1204426"
184,"spotify:track:11Pyzl3LTwpM9yVIDdwK68","Mc IG, MC Ryan SP, DJ Glenner, MC PH, DJ Hyago","Feliz no Simples 🍀","WM Brazil",123,198,8,"1198540"
185,"spotify:track:0bek7IePM9EuMiDI6cGQJB","Veigh, Supernova Ent","Belieber","Supernova Entertainment",38,91,3,"1196389"
186,"spotify:track:6wLTQ0PQAsFaTf4SfBDyYc","Matheus Fernandes, Matheus & Kauan","Triplex - Ao Vivo","Som Livre",4,-1,55,"1194852"
187,"spotify:track:0FTmksd2dxiE5e3rWyJXs6","sombr","back to friends","Warner Records",150,150,5,"1193882"
188,"spotify:track:6VH6SBNNL2RVWwImq046ce","Boladin 211, Dejinha, MC Rick","Penélope Charmosa 2","Kave",5,153,27,"1193013"
189,"spotify:track:1MnUXXQEuzlJFNF5xMH1XQ","Matheus & Kauan","Nessas Horas - Ao Vivo","Universal Music Ltda.",54,176,52,"1192773"
190,"spotify:track:371Up3WP7OqJNFPf0BiyUe","Zé Neto & Cristiano","Largado Às Traças - Ao Vivo","Som Livre",1,-1,92,"1190943"
191,"spotify:track:42JNab8NPeCADJ9D3Cl5wS","Zé Neto & Cristiano","Barulho Do Foguete - Ao Vivo","Som Livre",4,-1,85,"1190895"
192,"spotify:track:43e3pqrdIaP8RcP77Xavhw","Jhonas Serra","Furioso Oceano","Jhonas Serra",139,161,6,"1190397"
193,"spotify:track:4nTrxp4aH0g2yLVPkFmljF","Racionais MC's","Vida Loka, Pt. 2","Boogie Naipe",148,-1,17,"1183433"
194,"spotify:track:72xB2J9ZeBl0Rzxq2XmzdY","João Gustavo e Murilo, Analaga","Lençol Dobrado","WM Brazil",2,147,122,"1182313"
195,"spotify:track:6p6ohOKSzL4JaIRzSeOmWx","Felipe Amorim, Gustavo Mioto","Cama Embrasa","One Play",48,187,26,"1181424"
196,"spotify:track:4SZWKdNMIaUUFNmtJAxYdr","Henrique & Juliano","Vidinha De Balada - Ao Vivo","Virgin Music Label And Artist Services (S&D)",5,152,105,"1180318"
197,"spotify:track:6v6MmJlw7elqJUty23mvS4","Dj Tchouzen, Mc Rodrigo do CN","Cada Vez Mais Gostosa","Dj Tchouzen",93,171,14,"1175925"
198,"spotify:track:4ZrKyfCV1UcHuZjbLp03fM","Mãolee, Filipe Ret, Vulgo FK","Nós Combina","WM Brazil",69,-1,30,"1175881"
199,"spotify:track:4gBLQeJrre7DklMZIaPXPd","Bruno Rosa, Jorge & Mateus","A Grama do Vizinho - Ao Vivo","WM Brazil",199,-1,1,"1169116"
200,"spotify:track:1AM8pZn5uY89vkItAH5bm3","Felipe Araújo, Luan Pereira","Body Splash - Ao Vivo","Universal Music Ltda.",26,180,33,"1166839"
